英文名稱,中文名稱,生歿年,國籍,專長
"Donatoni, Franco",多納托尼,1927-2000,義大利,作曲
"Doniach, Shula",多尼阿赫,1905-,俄國,作曲；鋼琴；指揮
"Donington, Robert",多寧頓,1907-1990,英國,作曲；音樂學
"Donizetti, Gaetano",董尼才第,1797-1848,義大利,歌劇；作曲
"Donjon, Johenn?s",董雍,1839-1912,法國,作曲
"Donohoe, Peter",當諾何,1953-,英國,鋼琴
"Donovan, Richard Frank",當諾梵,1891-1970,美國,管風琴；作曲
"Donska, Maria",董絲卡,1912-,波蘭,鋼琴
"Dont, Jakob",董特,1815-1888,奧地利,小提琴；作曲
"Dopper, Cornelis",多普,1870-1939,荷蘭,作曲
"Doppler, Albert Franz","多普勒,阿伯特‧弗朗茲",1821-1883,匈牙利,長笛；作曲；指揮
"Doppler, Arpad","多普勒,阿帕德",1857-1927,匈牙利,鋼琴；作曲
"Doppler, Karl","多普勒,卡爾",1825-1900,奧地利,作曲
"Dorati, Antal",多拉第,1906-1988,美國,指揮；作曲
"Doret, Gustave",多瑞,1866-1943,瑞士,作曲；指揮
"Dorff, Daniel",多爾弗,1956-,美國,作曲
"Dorn, Heinrich",多恩,1804-1892,德國,作曲；指揮；教育；樂評
"Dornel, Louis-Antoine",多內,1685-1765,法國,作曲；管風琴
"Dorward, David Campbell",多華德,1933-,英國（蘇格蘭）,作曲
"Dos Santos, Robson",多斯桑多斯,1963-,巴西,作曲
"Dosaj, Dev",多薩伊,1959-,美國,作曲
"Dotzauer, Justus Friedrich",多曹兒,1783-1860,德國,作曲
"Dougherty, Terrence Patrick",多赫悌,1937-,美國,作曲
"Douglas, Clive Martin","道格拉斯,克萊夫",1903-1977,澳大利亞,指揮；作曲
"Douglas, Keith","道格拉斯,凱茲",1903-1950,英國,指揮
"Douglas, Nigel","道格拉斯,尼哥",1934-,英國,聲樂
"Douglas, Roy","道格拉斯,羅伊",1907-,英國,作曲；編曲
"Dowland, John",杜蘭,1563-1626,英國,作曲；魯特琴
"Dowling, Fergal",杜林,1965-,愛爾蘭,作曲
"Downes, Andrew","唐斯,安德魯",1950-,英國,作曲
"Downes, Olin","唐斯,歐林",1886-1955,美國,樂評
"Draeseke, Felix",德雷希克,1835-1913,德國,作曲
"Dragatakis, Dimitris",德拉加塔基斯,1914-2001,希臘,作曲
"Draghi, Antonio",德拉吉,1635-1700,義大利,作曲
"Dragonetti, Domenico",德拉果內第,1763-1846,義大利,低音提琴；作曲
"Drangosch, Ernesto",德朗果許,1882-1925,阿根廷,作曲
"Draper, Charles",德雷伯,1869-1952,英國,單簧管
"Drdla, Frantisek",德爾拉,1868-1944,捷克,作曲
"Dresden, Sem",德勒斯登,1881-1957,荷蘭,作曲
"Drew, James",德魯,1929-,美國,作曲
"Drexler, David",德克勒,1967-,美國,作曲
"Dreyschock, Alexander",德雷夏克,1818-1869,捷克,作曲
"Drigo, Riccardo",德利哥,1846-1930,義大利,作曲；指揮
"Drischner, Max",德利希納,1891-1971,德國,作曲
"Drouet, Louis",德魯埃,1792-1873,法國,長笛
"Druckman, Jacob",德魯克曼,1928-1996,美國,作曲
"Druschetzky, Gearg",德魯希茲基,1745-1819,斯洛伐克,作曲
"Drysdale, Learmont",德賴斯代爾,1866-1909,英國（蘇格蘭）,作曲
"Du Caurroy, Eustache",迪考若瓦,1549-1609,法國,作曲
"Du Pr?, Jacqueline","迪普雷,賈桂琳",1945-1987,英國,大提琴
"Du Puy, (Jean Baptiste) Edouard",迪皮,1770 or 1771-1822,瑞士,作曲
"Dubensky, Arkady",杜本斯基,1890-1966,俄國,小提琴；作曲
"Duble, Charles Edward ""C.E.""",杜伯,1884-1960,美國,作曲
"Dubois, Fran?ois Cl?ment Th?odore","迪伯瓦,弗朗索瓦",1837-1924,法國,作曲；管風琴
"Dubois, Pierre Max","迪伯瓦,皮耶爾",1930-1995,法國,作曲
"Duckworth, William",達克沃斯,1943-,美國,作曲
"Dufay, Guillaume",迪費,1397-1474,法國,作曲
"Duffeld, Kenneth Lancelot",杜飛德,1885-1945,澳大利亞,作曲
"Dukas, Paul",狄卡,1865-1935,法國,作曲；樂評
"Duke, John Woods",杜克,1899-1984,美國,鋼琴；作曲
"Dukelsky, Vladimir",杜凱斯基,1903-1969,俄國,作曲
"Dunayevsky, Issac",杜納耶夫斯基,1900-1955,俄國,作曲
"Dunhill, Thomas",鄧希爾,1877-1946,英國,作曲
"Duni, Egidio",杜尼,1708-1775,義大利,作曲
"Dunn, John",鄧恩,1866-1940,英國,小提琴
"Dunstable, John",鄧斯泰伯,ca.1390-1453,英國,作曲
"Duparc, Henri",迪帕克,1848-1933,法國,作曲
"Duphly, Jacques",迪夫利,1715-1789,法國,作曲
"Dupin, Paul",迪邦,1865-1949,法國,作曲
"Dupont, Auguste","迪朋,奧古斯特",1827-1890,瑞士,鋼琴；作曲
"Dupont, Gabriel","迪朋,加布里耶爾",1878-1914,法國,作曲
"Duport, Jean-Pierre",迪伯,1741-1818,法國,大提琴
"Dupr?, Marcel","迪普雷,馬索",1886-1971,法國,管風琴；作曲
"Duprez, Gibert","迪普雷,吉伯",1806-1896,法國,聲樂
"Durand, Jo?l-Fran?ois","迪朗,弗朗索瓦",1954-,法國,作曲
"Durand, Marie Auguste","迪朗,奧古斯特",1830-1909,法國,作曲
"Durante, Francesco",杜朗特,1684-1755,義大利,作曲
"Durey, Louis",迪瑞,1888-1979,法國,作曲
"Dur?n, Sebasti?n",杜弄,1660-1716,西班牙,作曲
"Durufle, Maurice",杜呂弗勒,1902-1986,法國,作曲；管風琴
"Du?ek, Franti?ek",迪謝克,1731-1799,捷克,鋼琴；作曲
"Dushkin, Samuel",杜希金,1891-1976,美國,小提琴
"Dussek, Jan Ladislav",杜賽克,1760-1812,捷克,作曲
"Dutilleux, Henri",迪悌耶,1916-,法國,作曲
"Dutoit, Charles",迪托瓦,1936-,瑞士,中提琴；指揮
"Duval, Denise",迪瓦,1921-,法國,聲樂
"Dvarionas, Balys",迪瓦利歐納斯,1904-1972,拉托維亞,作曲
"Dvo??k, Anton?n",德沃札克,1841-1904,捷克,作曲
"Dyens, Roland",迪恩斯,1955-,突尼西亞,吉他；作曲
"Dyson, George",戴森,1883-1964,英國,作曲
"Dzerzhinsky, Ivan",翟金斯基,1909-1978,俄國,作曲
"Dzubay, David",迪祖貝,1964-,美國,作曲
"Eadie, No?l",伊迪,1901-1956,英國（蘇格蘭）,聲樂
"Eames, Emma",伊姆絲,1865-1952,美國,聲樂
"Easdale, Brian",伊斯代爾,1909-1995,英國,小提琴；作曲
"Eastman, George",伊士曼,1854-1932,美國,音樂教育贊助人
"Easton, Florence",伊絲頓,1882-1955,英國,聲樂
"Eastwood, Thomas",伊士伍德,1922-1999,英國,作曲
"Eatock, Colin",伊托克,1958-,加拿大,作曲
"Eben, Petr",艾本,1929-,捷克,作曲；鋼琴
"Eberl, Anton",艾貝爾,1765-1807,奧地利,作曲；鋼琴
"Eberlin, Johann Ernst",艾貝林,1702-1762,德國,作曲
"Eccard, Johannes","艾卡特,約翰尼斯",1553-1611,德國,作曲
"Eccles, Henry","艾可斯,亨利",1670-1742,英國,作曲
"Eccles, John","艾可斯,約翰",1668-1735,英國,小提琴；作曲
"Eccles, Solomon","艾可斯,所羅門",1618-1683,英國,作曲
"Eckard, Johann Gottfried","艾卡特,約翰哥特弗利德",1735-1809,德國,作曲
"Eckerberg, Sixten",艾克堡,1909-1991,瑞典,指揮；鋼琴；作曲
"Eckhardt-Gramatt?, Sophie-Carmen",艾卡特－葛蘭瑪特,1899-1974,加拿大,作曲
"Eddy, Nelson",艾迪,1901-1967,美國,聲樂
"Edelmann, Jean-Fr?d?ric (Johan-Fredreric)","艾德曼,尚－弗列德利克",1749-1794,法國,作曲
"Edelmann, Otto","艾德曼,歐托",1917-2003,奧地利,聲樂
"Edgerton, Mike",艾格頓,1961-,美國,作曲
"Edlin, Paul Max",艾德林,1963-,英國,作曲
"Edmunds, John",艾德蒙茲,1913-1986,美國,作曲；音樂學
"Edo, Kyoko",江戶京子,1937-,日本,鋼琴；音樂教育
"Edvina, Marie-Louise",艾薇娜,1878-1948,加拿大,聲樂
"Edwards, Michael","艾德華,麥可",1968-,英國,作曲
"Edwards, Richard","艾德華,理查",1523-1566,英國,作曲
"Edwards, Ross","艾德華,羅斯",1943-,澳大利亞,作曲
"Egge, Klaus",艾格,1906-1979,挪威,作曲
"Eggen, Arne",艾根,1881-1955,挪威,作曲；管風琴
"Eggert, Joachim Nikolas","艾格特,姚阿幸尼可拉斯",1779-1813,瑞典,作曲
"Eggert, Moritz","艾格特,摩利茲",1965-,德國,作曲
"Egk, Werner",艾格科,1901-1983,德國,作曲
"Ehlers, Alice",艾萊絲,1887-1981,美國,大鍵琴
"Ehrling, Sixten",艾爾林,1918-2005,瑞典,指揮
"Eichheim, Henry",艾希海姆,1870-1942,美國,作曲；小提琴
"Eichner, Ernst",艾希納,1740-1777,德國,作曲；低音管
"Eijsackers, Hans",艾加克斯,1967-,荷蘭,作曲
"Eilenberg, Richard",艾連堡,1848-1927,奧地利,作曲
"Eimert, Herbert",艾麥特,1897-1972,德國,作曲；音樂理論
"Einem, Gottfried von",艾能,1918-1996,奧地利,作曲
"Einstein, Alfred",艾因斯坦,1880-1952,美國,音樂學
"Eisenberg, Maurice",艾森堡,1900-1972,美國,大提琴
"Eisler, Hanns",艾斯勒,1898-1962,德國,作曲
"Eitner, Robert",艾特納,1832-1905,德國,音樂學
"Ek, Gunnar",艾克,1900-1981,瑞典,作曲；大提琴
"Elder, Mark",艾爾德,1947-,英國,指揮；低音管
"Eldering, Klaas",艾德令,1951-,荷蘭,作曲
"Element, Ernest",艾勒門特,1909-,英國,小提琴
"Elfman, Danny",艾夫曼,1953-,美國,作曲
"Elgar, Edward",艾爾加,1857-1934,英國,作曲
"Elinson, Iso",艾林森,1907-1964,英國,鋼琴
"Elizalde, Federico",艾利薩德,1907-1979,西班牙,作曲；指揮
"Elkana, Amos",艾卡納,1967-,美國,作曲
"Elleguard, France Marguerite",艾萊瓜,1913-,瑞典,鋼琴
"Ellen, Jane",艾倫,1956-,美國,作曲
"Eller, Heino",艾勒,1887-1970,愛沙尼亞,作曲
"Elling, Catharinus",艾林,1858-1942,挪威,作曲
"Ellinger, Desiree",艾琳潔,1894-1951,英國,聲樂
"Ellington, Edward K.""Duke""",艾靈頓,1899-1974,美國,作曲；鋼琴；爵士樂
"Elliott, Jonathan",艾略特,1962-,美國,作曲
"Ellis, David",艾利斯,1933-,英國,作曲
"Ellmenreich, Alvert",艾爾門來希,1816-1905,德國,作曲
"Elman, Mischa",艾爾曼,1891-1967,俄國,小提琴
"Elmendorff, Karl",艾門朵夫,1891-1962,德國,指揮
"Eloy, Jean-Claude",艾洛瓦,1938-,法國,作曲
"Elsner, Joseph",艾爾斯納,1769-1854,波蘭,作曲
"Elson, Louis",艾爾森,1848-1920,美國,音樂著作
"Elwell, Herbert",艾威爾,1898-1974,美國,作曲；樂評
"Elwes, Gervase",艾威斯,1866-1921,英國,聲樂
"Emborg, Jens Laurson",恩博,1876-1957,丹麥,作曲
"Emmanuel, Maurice",埃瑪紐耶爾,1862-1938,法國,作曲；音樂學
"Emmett, Daniel Decatur",艾梅特,1815-1904,美國,作曲
"Enesco, Georges[ Enescu, Geoge ]",艾內斯科,1881-1955,羅馬尼亞,小提琴；作曲
"Engel, Carl",恩格爾,1818-1882,德國,鋼琴
"Engel, Claude",恩傑爾,1948-,法國,作曲
"Englefield, Richard",恩格費爾德,1937-,美國,作曲
"Englund, Einar Sven",恩格倫德,1916-1999,芬蘭,作曲
"Enkoji, Masahiko",圓光寺雅彥,1954-,日本,指揮
"Enna, August",恩納,1859-1939,丹麥,小提琴
"Ennemond, Gaultier le Vieux",恩納蒙,ca.1575-80-1651,法國,作曲
"Entremont, Philippe",恩特蒙,1934-,法國,鋼琴
"E?tv?s, Peter",艾厄特沃斯,1944-,匈牙利,作曲
"Eppert, Carl",伊普特,1882-1961,美國,指揮；作曲
"Epstein, Julius",艾布斯坦,1832-1926,奧地利,鋼琴
"Erb, Donald James","艾爾布,唐納‧詹姆士",1927-,美國,作曲
"Erb, Karl","艾爾布,卡爾",1877-1958,德國,聲樂
"Erbse, Heimo",艾爾布瑟,1924-,德國,作曲
"Erede, Alberto",艾雷德,1909-2001,義大利,指揮
"Erickson, Robert",艾瑞克森,1917-1997,美國,作曲
"Erkelt, Ferenc",艾爾凱,1810-1893,匈牙利,作曲；指揮
"Erlanger, Camille",艾朗傑,1863-1919,法國,作曲
"Erlebach, Philipp Heinrich",艾勒巴赫,1657-1714,德國,作曲
"Erlih, Devy",艾利希,1928-,法國,小提琴
"Ernst, Heinrich Wilhelm",恩斯特,1814-1865,捷克,小提琴；作曲
"Eschenbach, Christoph",艾森巴赫,1940-,德國,鋼琴；指揮
"Escher, Rudolf",艾舍,1912-1980,荷蘭,作曲
"Escobar, Luis Antonio",艾斯哥巴爾,1925-1993,哥倫比亞,作曲
"Escudero, Francisco",艾斯庫德羅,1912-2002,西班牙,作曲
"Eshpay, Andrey",艾希拜,1925-,俄國,作曲
"Esnaola, Juan Pedro",艾斯瑙拉,1808-1878,阿根廷,作曲
"Espl?, Oscar",艾斯普拉,1886-1976,西班牙,作曲
"Espoile, Ra?l",艾斯珀伊列,1889-1958,阿根廷,作曲
"Esposito, Michele",艾斯波西托,1855-1929,義大利,鋼琴；指揮
"Esquivel, Juan Barahona de",艾斯奇維爾,ca.1560-after 1623,西班牙,作曲
"Essipoff, Annette",艾西波芙,1851-1914,俄國,鋼琴
"Essl, Karlheinz",艾瑟,1960-,奧地利,作曲
"Estrada, Carlos",艾斯特拉達,1909-1970,烏拉圭,作曲；指揮
"Etkin, Mariano",艾特金,1943-,阿根廷,作曲
"Etler, Alvin",艾特勒,1913-1973,美國,作曲；雙簧管
"Evangelisti, Franco",艾宛傑利斯提,1926-1980,義大利,作曲
"Evans, David","伊文斯,大衛",1874-1948,英國,作曲
"Evans, David Emlyn","伊文斯,恩林",1843-1913,英國,音樂著作；作曲
"Evans, Edwin (i)","伊文斯一世,艾德文",1844-1923,英國,管風琴；著作
"Evans, Edwin (ii)","伊文斯二世,艾德文",1874-1945,英國,音樂著作
"Evans, Francois","伊文斯,法郎索瓦",1965-,英國,作曲
"Evans, Geraint","伊文斯,傑倫特",1922-1992,英國,聲樂
"Even, Pierre",艾文,1946-,德國,作曲
"Ewald, Victor",艾瓦德,1860-1935,俄國,作曲
"Ewers, Tim",艾威爾斯,1958-,英國,作曲
"Expert, Henry",艾克斯培,1863-1952,法國,音樂學
"Eybler, Joseph Edler von",艾布勒,1765-1846,奧地利,作曲
"Eysler, Edmund",艾斯勒,1874-1949,奧地利,作曲
"Ezaki, Masako",江崎昌子,1970-,日本,鋼琴
"Faccio, Franco",法丘,1840-1891,義大利,指揮；作曲
"Fachiri, Adila",法琪莉,1886-1962,匈牙利,小提琴
"Fagan, Gideon",費根,1904-1980,南非,指揮；作曲
"Fakhradov, Zaur",法克拉朵夫,1965-,亞塞拜然,作曲
"Falconieri, Andrea",法可涅里,1585/6-1656,義大利,作曲
"Falkner, Keith",佛克納,1900-1994,英國,聲樂
"Fall, Leo",法爾,1873-1925,奧地利,作曲
"Falla, Manuel de",法雅,1876-1946,西班牙,作曲
"Fampas, Dimitri",范帕斯,1921-1996,希臘,作曲；吉他
"Fanshawe, David",范曉,1942-,英國,作曲
"Fantini, Girolamo",范悌尼,ca.1600-after1675,義大利,作曲
"Faraday, Philip Michael",法拉代,1876-1944,英國,作曲
"Farina, Carlo",法利納,ca.1600-ca.1640,義大利,小提琴；作曲
"Farinelli, (Carlo Broschi)",法里內利,1705-1782,義大利,聲樂
"Farjeon, Harry",法爾炯,1878-1948,英國,作曲；著作
"Farkas, Ferenc","法卡斯,費倫次",1905-2000,匈牙利,作曲
"Farkas, ?d?n","法卡斯,厄登",1952-1912,匈牙利,作曲
"Farmer, Henry George","法默,亨利喬治",1882-1965,愛爾蘭,音樂著作
"Farmer, John","法默,約翰",ca.1570-between 1591-1601,英國,作曲
"Farnaby, Giles","法納比,吉爾斯",ca.1563-1640,英國,作曲
"Farnaby, Richard","法納比,理查",ca.1594-?,英國,作曲
"Farnam, W.Lynnwood",法爾南,1885-1930,加拿大,管風琴
"Farncombe, Charles",法恩康,1919-2006,英國,指揮
"Farnon, Robert",法農,1917-2005,加拿大,作曲；指揮
"Farrar, Geraldine",法拉,1882-1967,美國,聲樂
"Farrenc-Dumont, Jeanne-Louise",法蓮克－迪蒙,1804-1875,法國,作曲
"Farwell, Arthur",法維爾,1872-1952,美國,作曲
"Fasano, Renato",法撒諾,1902-1979,義大利,指揮；鋼琴；作曲
"Fasch, Carl Friedrich Christian","法許,卡爾",1736-1800,德國,作曲
"Fasch, Johann Friedrich","法許,約翰",1688-1758,德國,作曲
"Faur?, Gabriel",佛瑞,1845-1924,法國,作曲；管風琴
"Faure, Jean-Baptiste",佛爾,1830-1914,法國,作曲；聲樂
"Faverman, John",法沃曼,1957-,美國,作曲
"Fear, Arthur Edward",費爾,1902-,英國,聲樂
"FeBland, Jonathan",費布藍,1960-,英國,作曲
"Feinberg, Samuel",芬伯格,1890-1962,俄國,鋼琴
"Feldman, Morton",費德曼,1926-1987,美國,作曲
"Fellows, Edmund Horace",費洛斯,1870-1951,英國,音樂學
"Feltkamp, Johannes",費特坎,1896-1962,荷蘭,長笛；指揮
"Felton, William",費爾頓,1715-1769,英國,管風琴；作曲
"Felzer, Oleg",費爾澤,1939-,亞塞拜然,作曲
"Fenby, Eric",芬畢,1906-1997,英國,作曲
"Fennelly, Brian",芬內利,1937-,美國,作曲
"Feo, Francesco",費歐,1691-1761,義大利,作曲
"Ferencsik, J?nos",費倫契克,1907-1984,匈牙利,指揮
"Ferguson, Howard",費格森,1908-1999,愛爾蘭,作曲
"Ferko, Frank",費可,1950-,美國,作曲
"Fernandez, Gaspar","費南德茲,加斯帕",1570-1629,葡萄牙,作曲
"Fernandez, Maria Antonia",費南黛絲,1751-1787,西班牙,聲樂
"Fernandez, Oscar",費南德斯,1897-1948,巴西,作曲
"Ferneyhough, Brian",費尼豪,1943-,英國,作曲
"Fernstr?m, John",費恩史壯,1897-1961,瑞典,作曲
"Ferrabosco, Alfonso I",費拉伯斯可一世,1543-1588,義大利,作曲
"Ferrabosco, Alfonso II",費拉伯斯可二世,1575-1628,義大利,作曲
"Ferrara, Franco",費拉拉,1911-1985,義大利,作曲
"Ferrari, Gustave","費拉利,古斯塔夫",1872-1948,瑞士,作曲
"Ferrari, Luc","費拉利,呂克",1929-2005,法國,作曲
"Ferras, Christian",費拉,1933-1982,法國,小提琴
"Ferrero, Willy",費雷洛,1906-1954,義大利,指揮；作曲
"Ferrier, Kathleen",費里爾,1912-1953,英國,聲樂
"Ferroud, Pierre-Octave",費魯,1900-1936,法國,作曲
"Fesca, Friedrich Ernst",費斯卡,1789-1826,德國,作曲
"Fesch, Willem de",費許,1687-1757,荷蘭,作曲
"Festetics, Le?",費斯特悌克斯,1800-1884,匈牙利,作曲
"Festing, Michael",費斯汀,1680-1752,英國,小提琴；作曲
"F?tis, Franc?ois-Joseph",費悌斯,1784-1871,比利時,音樂學；作曲；管風琴
"Feuermann, Emmanuel",佛耶曼,1902-1942,奧地利,大提琴
"F?vrier, Henri",費弗里耶,1875-1957,法國,作曲
"Fibich, Zdenek",費畢希,1850-1900,捷克,作曲
"Ficher, Jacobo",費舍爾,1896-1978,俄國,作曲；小提琴
"Fickenscher, Arthur",費肯雪,1871-1954,美國,鋼琴；作曲
"Ficker, Rudolf von",費克爾,1886-1954,奧地利,音樂學
"Fidemraizer, Sergio",費登雷策,1958-,阿根廷,作曲
"Fiedler, Arthur","費德勒,阿瑟",1894-1979,美國,指揮
"Fiedler, Max","費德勒,馬克斯",1859-1939,德國,指揮；作曲
"Field, John",費爾德,1782-1837,愛爾蘭,鋼琴；作曲
"Field-Hyde, Margaret",費爾德－海德,1905-1995,英國,小提琴；聲樂
"Fields, Matthew",費爾茲,1961-,美國,作曲
"Fillunger, Marie",費隆格,1850-1930,奧地利,聲樂
"Filtz, Anton",費爾次,1733-1760,德國,作曲；大提琴
"Finch, Steven",芬奇,1959-,美國,作曲
"Finck, Heinrich","芬克,海因利希",1445-1527,德國,作曲
"Finck, Herman","芬克,赫曼",1872-1939,英國,作曲；指揮
"Fine, Irving","范因,厄文",1914-1962,美國,作曲
"Fine, Vivian","范因,薇薇安",1913-2000,美國,作曲
"Finger, Gottfried",芬格,ca.1660-1730,捷克,作曲
"Finney, Ross Lee",芬尼,1906-1997,美國,作曲
"Finnissy, Michael",芬尼西,1946-,英國,作曲
"Finsterer, Mary",芬斯特爾,1962-,澳大利亞,作曲
"Finzi, Gerald",芬濟,1901-1956,英國,作曲
"Fiocco, Gioseffo Hectore","費歐寇,喬瑟夫",1703-1741,比利時,作曲
"Fiocco, Pietro Antonio","費歐寇,皮耶特羅",ca.1650-1714,義大利,指揮；作曲
"Fiorillo, Dante","費奧利洛,丹提",1905-,美國,作曲
"Fiorillo, Federigo","費奧利洛,費德利果",1755-1823,義大利,小提琴；作曲
"Fiorillo, Ignazio","費奧利洛,伊尼亞契歐",1715-1787,義大利,作曲
"Fischer, Annie","費雪,安妮",1914-1995,匈牙利,鋼琴
"Fischer, Carl","費雪,卡爾",1849-1923,美國,音樂出版
"Fischer, Edwin","費雪,艾德溫",1886-1960,瑞士,鋼琴；指揮
"Fischer, Johann Kaspar Ferdinand","費雪,約翰",ca.1670-1746,德國,作曲
"Fischer-Dieskau, Dietrich",費雪－迪斯考,1925-2012,德國,指揮；聲樂
"Fischer-M?nster, Gerhard",費雪－明斯特,1952-,德國,作曲
"Fi?er, Lubo?",費舍,1935-1999,捷克,作曲
"Fisher, Sylvia","費雪,希薇亞",1910-1996,澳大利亞,聲樂
"Fisher, William Arms","費雪,威廉",1861-1948,美國,音樂著作
"Fistoulari, Anatole",費斯圖拉瑞,1907-1995,英國,指揮
"Fitelberg, Grzegorz","費泰貝格,葛瑞戈茲",1879-1953,波蘭,指揮
"Fitelberg, Jerzy","費泰貝格,耶濟",1903-1951,波蘭,作曲
"Fitkin, Graham",費特金,1963-,英國,作曲
"Fjeldstad, Oivin",費耶爾斯塔,1903-1983,挪威,指揮
"Flagstad, Kirsten",弗拉格斯塔,1895-1962,挪威,聲樂
"Flanagan, William",弗拉納根,1923-1969,美國,作曲；著作
"Flecha, Mateo",弗列恰,1530-1604,西班牙,作曲
"Fleisher, Leon",弗萊雪,1928-,美國,鋼琴；指揮
"Flesch, Carl",弗雷許,1873-1944,匈牙利,小提琴
"Fleta, Miguel",弗列塔,1893-1938,西班牙,聲樂
"Fleury, Andr?","弗勒利,安德烈",1903-1995,法國,管風琴；作曲
"Fleury, Louis","弗勒利,路易",1878-1926,法國,長笛
"Florence, Evangeline",弗羅倫斯,1873-1928,美國,聲樂
"Flothuis, Marius",弗洛徒伊斯,1914-2001,荷蘭,作曲；音樂學
"Flotow, Friedrich von",弗洛妥,1812-1883,德國,歌劇作曲
"Flower, Newman",弗勞爾,1879-1964,英國,音樂著作；出版
"Floyd, Carlisle",弗洛依德,1926-,美國,作曲
"Fodor, Carolus Antonius (Antoine)",佛多,1768-1846,荷蘭,作曲
"Foggin, Myers",佛京,1908-,英國,鋼琴；指揮
"Foldes, Andor",佛德斯,1913-1992,美國,鋼琴
"Foli, Allen James",佛利,1835-1899,愛爾蘭,聲樂
"Fomin, Evstigney Ipatovich",佛明,1761-1800,俄國,作曲
"Fontana, Bill","馮塔納,比爾",1947-,美國,作曲
"Fontana, Giovanni Battista","馮塔納,喬望尼",ca.1571-ca.1631,義大利,作曲
"Fontana, Julian (Jules)","馮塔納,朱利安",1810-1869,波蘭,作曲
"Fontyn, Jacqueline",馮坦,1930-,比利時,作曲
"Foote, Arthur",富特,1853-1937,美國,作曲；鋼琴
"Forbes, Robert","富比士,羅伯特",1878-1958,英國,鋼琴；指揮
"Forbes, Sebastian","富比士,瑟巴斯坦",1941-,英國,作曲；管風琴
"Forbes, Watson","富比士,瓦森",1909-,英國,中提琴
"Ford, Thomas",福特,ca.1580-1648,英國,作曲
"Forester, Josef Bohuslav",佛爾斯特,1859-1951,捷克,作曲；管風琴
"Forestier, Mathurin",佛雷斯提耶,1470?-1540?,法國,作曲
"Formichi, Cesare",佛爾米基,1887-1949,義大利,聲樂
"Forqueray, Antoine",佛格雷,1671 or 1672-1745,法國,作曲
"F?rster, Emanuel Aloys",弗爾斯特,1748-1823,奧地利,作曲；音樂理論
"Forsyth, Cecil",弗賽斯,1870-1941,英國,作曲；音樂學
"Fortner, Wolfgang",佛特納,1907-1987,德國,作曲；指揮
"Fortuna, Marcelo",佛杜納,1965-,巴西,作曲
"Foss, Lukas",佛斯,1922-,美國,作曲；鋼琴
"Foster, Lawrence","佛斯特,勞倫斯",1941-,美國,指揮
"Foster, Muriel","佛斯特,莫莉",1877-1937,英國,聲樂
"Foster, Stephen Collins","佛斯特,史提芬",1826-1864,美國,歌謠作曲
"Foulds, John",法爾茲,1880-1939,英國,作曲；指揮
"Fourestier, Louis",傅雷斯提耶,1892-1976,法國,指揮；作曲
"Fournet, Jean",傅爾內,1913-,法國,指揮
"Fournier, Pierre",傅尼葉,1906-1986,法國,大提琴
"Fowler, Tommy",法勒,1948-,英國（蘇格蘭）,作曲
"Frackenpohl, Arthur",弗雷肯波爾,1924-,美國,作曲
"Frager, Malcolm",弗雷格,1935-1991,美國,鋼琴
"Francaix, Jean",弗朗謝,1912-1997,法國,作曲；鋼琴
"Francescatti, Zino",弗朗切斯卡悌,1902-1991,法國,小提琴
"Franceschini, Petronio",弗朗切斯基尼,1651-1680,義大利,作曲
"Franchetti, Alberto",弗朗凱第,1860-1942,義大利,作曲
"Franchomme, Auguste",弗朗科姆,1808-1884,法國,大提琴
"Franci, Carlo",弗朗契,1927-,義大利,指揮；作曲
"Franck, C?sar","法朗克,賽札爾",1822-1890,比利時,管風琴；作曲
"Franck, Melchior","法朗克,梅爾希爾",ca.1579-1639,德國,作曲
"Francoeur, Fran?ois",弗朗科爾,1698-1787,法國,小提琴；作曲
"Fran?ois, Samson",弗隆索瓦,1924-1970,法國,鋼琴
"Frankel, Benjamin",弗朗可,1906-1973,英國,作曲；指揮
"Frankenstein, Alfred",弗朗肯斯坦,1906-1981,美國,音樂著作
"Frankl, Peter",弗朗科,1935-,匈牙利,鋼琴
"Franklin, David",弗朗克林,1908-1973,美國,聲樂
"Franz, Robert","弗朗茲,羅伯特",1918-1892,德國,作曲
"Franz, Vladim?r","弗朗茲,弗拉迪米爾",1959-,捷克,作曲
"Fraser-Simson, Harold",弗瑞瑟－辛森,1878-1944,英國,作曲
"Frazelle, Kenneth",弗瑞澤,1955-,美國,作曲
"Freccia, Massimo",弗瑞契亞,1906-2004,義大利,指揮；作曲
"Fredman, Myer",弗瑞德曼,1932-,英國,指揮
"Fredrics, Howard",弗瑞德利克斯,1962-,美國,作曲
"Freed, Isadore",弗莉德,1900-1960,美國,指揮
"Freedman, Harry",弗雷德曼,1922-,波蘭,作曲
"Freinsberg, Jean Adam(Guillaume)",弗萊茵斯貝爾格,before 1702-after 1739,德國,管風琴
"Freitas Branco, Lu?s de","弗雷達斯‧布朗哥,路易斯",1890-1955,葡萄牙,作曲
"Freitas Branco, Pedro de","弗雷達斯‧布朗哥,貝德羅",1896-1962,葡萄牙,指揮；作曲
"Freitas, Frederico",弗雷達斯,1902-1980,葡萄牙,作曲；指揮
"Fr?maux, Louis",弗雷莫,1921-,法國,指揮
"Fremstad, Olive",弗雷姆絲塔德,1871-1951,美國,聲樂
"Freni, Mirella",弗蕾妮,1935-,義大利,聲樂
