英文名稱,中文名稱,生歿年,國籍,專長
"Alba, Alonso de",阿爾巴,1475?-1520,西班牙,作曲
"Albanese, Francesco????","阿爾巴尼斯,法蘭切斯科",1912-,義大利,聲樂
"Albanese, Lucia","阿爾巴尼斯,路琪雅",1913-,美國,聲樂
"Albanesi, Carlo",阿爾巴內西,1856-1926,義大利,鋼琴；作曲
"Albani, Emma",阿爾巴妮,1847-1930,加拿大,聲樂
"Alb?niz, Isaac",阿爾貝尼士,1860-1909,西班牙,鋼琴；作曲
"Albert, Eugen d' {Dalbert, Eug?ne}","達貝爾,尤金",1864-1932,德國,作曲；鋼琴
"Albert, Heinrich","阿貝特,海因利希",1604-1651,德國,管風琴；作曲；詩人
"Albert, Karel","阿貝特,卡爾",1901-1987,比利時,作曲
"Albert, Prince",阿伯特親王,1819-1861,英國,作曲
"Albert, Stephen","阿伯特,史提芬",1941-1992,美國,作曲
"Alberti, Domenico","阿貝悌,多門尼可",1710-1740,義大利,作曲；聲樂；大鍵琴
"Alberti, Johann Friedrich","阿貝悌,約翰‧弗里德利希",1642-1710,德國,作曲
"Albicastro, Enrico (Heinrich)",阿比卡斯特羅,ca.1670-ca.1738,瑞士,作曲
"Albinoni, Tomaso Giovanni",阿比諾尼,1671-1751,義大利,作曲
"Albrecht, Gerd",阿布雷希特,1935-,德國,指揮；鋼琴；小提琴
"Albrechtsberger, Johann Geor",阿布雷希茨貝格,1736-1809,奧地利,管風琴；作曲
"Albright, William",阿布萊特,1944-1998,美國,作曲
"Alcock, Walter",阿科克,1861-1947,英國,管風琴；作曲
"Alda, Frances","阿達,法蘭切絲",1879-1952,義大利,聲樂
"Alderighi, Dante",阿德利基,1898-1968,加拿大,鋼琴；作曲
"Aldrich, Richard",阿德利奇,1863-1937,美國,樂評
"Aldridge, Robert Livingston",阿德利吉,1954-,美國,作曲
"Alemann, Eduardo",阿雷曼,1922-2005,阿根廷,作曲
"Aler, John????",阿勒,1949-,美國,聲樂
"Alexander, Joe L.","亞力山大,喬",1958-,美國,作曲
"Alexander, Russell","亞力山大,羅素",1877-1915,美國,作曲
"Alexandrov, Alexander Vasil'yevich","亞力山德羅夫,亞力山大",1883-1946,俄國,作曲
"Alexandrov, Anatoly","亞力山德羅夫,安納托利",1888-1982,俄國,作曲
"Alexeev, Dmitri",阿列克謝耶夫,1947-,俄國,鋼琴
"Alfano, Franco",阿爾法諾,1876-1954,義大利,作曲
"Alfv?n, Hugo",阿爾芬,1872-1960,瑞典,作曲；小提琴
"Algarotti, Franceso",阿加洛第,1712-1764,義大利,音樂著作
"Alghisi, Paris Francesco",阿基西,1666-1733,義大利,作曲
"Ali-Zadeh, Franghiz",阿里扎德,1947-,亞塞拜然,作曲
"Alkan, Charles-Valentin Morhange",阿爾康,1813-1888,法國,作曲；鋼琴
"Allam, Walter Edward",阿蘭姆,1902-,英國,指揮；鋼琴；作曲
"Allan, Richard van",阿嵐,1935-,英國,聲樂
"Alldis, John",阿迪斯,1928-,英國,指揮
"Allegri, Gregorio",阿雷格里,1582-1652,義大利,作曲
"Allen, Hugh","阿倫,休",1869-1946,英國,指揮；管風琴
"Allen, Thomas","阿倫,湯瑪斯",1944-1999,英國,聲樂
"Allende, Pedro Humberto",阿連德,1885-1959,智利,作曲；小提琴
"Allin, Norman",阿林,1884-1973,英國,聲樂
"Allori, Pietro",阿羅利,1925-1985,義大利,作曲
"Almeida, Antonio de","阿梅達,安東尼歐",1760-1825,美國,指揮
"Almeida, Francisco Antonio de","阿梅達,弗朗西斯科",1702-1755,葡萄牙,作曲
"Almeida, Renato","阿梅達,雷納多",1895-,巴西,音樂學
"Alnaes, Eyvind",阿奈斯,1872-1932,挪威,作曲；管風琴；指揮
"Alnievas, Augustin",阿涅瓦斯,1934-,美國,鋼琴
"Alonso, de Alba",阿隆索,1475?-1520,西班牙,作曲
